entry_date,near_expiry,far_expiry,primary_reason,primary_strike,secondary_strike,secondary_spot_open,secondary_pnl_inr
2022-01-07,2022-01-13,2022-02-03,MISSING_ENTRY_LEG,17800.0,17800.0,17797.599609375,-4977.5
2022-02-25,2022-03-03,2022-03-24,MISSING_ENTRY_LEG,16500.0,16500.0,16515.650390625,3759.999999999999
2022-03-21,2022-03-24,2022-04-13,MISSING_ENTRY_LEG,17300.0,17300.0,17329.5,-907.4999999999982
2022-04-18,2022-04-21,2022-05-12,MISSING_ENTRY_LEG,17200.0,17200.0,17183.44921875,-2327.500000000001
2022-08-05,2022-08-11,2022-09-01,MISSING_ENTRY_LEG,17400.0,17400.0,17423.650390625,-1714.999999999999
2022-10-21,2022-10-27,2022-11-17,MISSING_ENTRY_LEG,17600.0,17600.0,17622.849609375,1960.000000000001
2023-01-06,2023-01-12,2023-02-02,MISSING_ENTRY_LEG,18000.0,18000.0,18008.05078125,1442.5
2023-06-09,2023-06-15,2023-07-06,MISSING_ENTRY_LEG,18650.0,18650.0,18655.900390625,980.0000000000008
2023-06-16,2023-06-22,2023-07-13,MISSING_ENTRY_LEG,18700.0,18700.0,18723.30078125,199.99999999999957
2023-08-11,2023-08-17,2023-09-07,MISSING_ENTRY_LEG,19550.0,19550.0,19554.25,2560.000000000001
2023-08-25,2023-08-31,2023-09-21,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,19300.0,19300.0,19297.400390625,5127.5
2023-09-15,2023-09-21,2023-10-12,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,20150.0,20150.0,20156.44921875,-1.8189894035458565e-12
2023-09-22,2023-09-28,2023-10-19,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,19750.0,19750.0,19744.849609375,-522.5000000000009
2023-10-06,2023-10-12,2023-11-02,MISSING_ENTRY_LEG,19600.0,19600.0,19621.19921875,-99.99999999999908
2023-10-20,2023-10-26,2023-11-16,MISSING_ENTRY_LEG,19550.0,19550.0,19542.150390625,1432.5
2023-10-27,2023-11-02,2023-11-23,MISSING_ENTRY_LEG,18950.0,18950.0,18928.75,-970.0000000000028
2023-12-08,2023-12-14,2024-01-04,MISSING_ENTRY_LEG,20950.0,20950.0,20934.099609375,5222.499999999999
2024-01-29,2024-02-01,2024-02-22,MISSING_EXIT_LEG,21450.0,21450.0,21433.099609375,485.0000000000018
2024-02-16,2024-02-22,2024-03-14,MISSING_ENTRY_LEG,22000.0,22000.0,22020.30078125,1084.9999999999982
2024-02-23,2024-02-29,2024-03-21,MISSING_ENTRY_LEG,22300.0,22300.0,22290.0,2677.4999999999995
2024-03-15,2024-03-21,2024-04-10,MISSING_ENTRY_LEG,22100.0,22100.0,22064.849609375,6532.499999999998
2024-03-22,2024-03-28,2024-04-18,MISSING_ENTRY_LEG,21950.0,21950.0,21932.19921875,4497.5
2024-05-24,2024-05-30,2024-06-20,MISSING_ENTRY_LEG,22900.0,22900.0,22930.75,751.2499999999973
2024-06-14,2024-06-20,2024-07-11,MISSING_ENTRY_LEG,23450.0,23450.0,23464.94921875,-161.24999999999957
2024-06-21,2024-06-27,2024-07-18,MISSING_ENTRY_LEG,23650.0,23650.0,23661.150390625,736.2499999999991
2024-07-12,2024-07-18,2024-08-08,MISSING_ENTRY_LEG,24400.0,24400.0,24387.94921875,516.2499999999991
2024-08-16,2024-08-22,2024-09-12,MISSING_EXIT_LEG,24350.0,24350.0,24334.849609375,-838.7499999999991
